Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.5426,0.0,0.5426,0.2636,0.8062,100.362,118.3,100.049,100.14,218.44,0,0,0.8519,1.0,-,,
2,unknown,0,0,2,1,0,0.8682,0.0,0.8682,0.0233,0.8915,100.147,101.8,100.066,100.14,201.94,0,0,0.8519,1.0,-,,
3,sat,1,0,2,1,1,0.8837,0.0,0.8837,0.0233,0.907,100.095,100.94,5.641,5.7,106.64,1,1,0.8519,1.0,-,[67.  6.  9. 11.  2. 13.  4.  4.  0. 17.  5. 76. 29.],[67.  6.  9. 11.  2. 13.  4.  4.  1. 17.  5. 76. 29.]
4,unknown,1,0,3,1,0,0.845,0.0,0.845,0.031,0.876,100.01,101.76,100.038,100.1,201.85,0,0,0.8519,1.0,-,,
1,unknown,0,0,1,1,0,0.4419,0.0,0.4419,0.3023,0.7442,100.327,120.56,100.111,100.36,220.92,0,0,0.8519,1.0,-,,
2,unknown,0,0,2,1,0,0.8527,0.0078,0.8605,0.0233,0.8837,100.141,101.46,100.108,100.17,201.63,0,0,0.8519,1.0,-,,
3,unknown,0,0,3,1,0,0.4961,0.0,0.4961,0.0543,0.5504,100.098,119.69,100.272,100.45,220.14,0,0,0.8519,1.0,-,,
4,unknown,0,0,4,1,0,0.8295,0.0,0.8295,0.0233,0.8527,100.018,102.63,100.106,100.23,202.86,0,0,0.8519,1.0,-,,
