Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.0976,0.0,0.0976,0.0,0.1707,108.945,109.28,100.632,106.89,216.17,0,0,0.8103,0.7678,-,,
2,unknown,0,0,2,1,0,0.1707,0.0,0.1707,0.0732,0.2927,102.638,141.22,101.484,106.9,248.12,0,0,0.8103,0.7783,-,,
3,unknown,0,0,3,1,0,0.1463,0.0,0.1463,0.0732,0.2683,100.887,132.61,100.618,106.42,239.03,0,0,0.8103,0.7786,-,,
4,unknown,0,0,4,1,0,0.0488,0.0,0.0488,0.0,0.122,100.661,117.11,129.57,1439.42,1556.54,0,0,0.8103,0.7614,-,,
