Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.876,0.0,0.876,0,0.876,5.397,7.58,0,0.0,7.58,0,0,0.8519,0.7555,-,,
2,unknown,0,1,1,1,0,0.8527,0.0,0.8527,0.0233,0.876,100.029,101.86,100.438,100.52,202.37,0,0,0.8519,0.7549,-,,
3,unknown,0,1,2,1,0,0.7287,0.0,0.7287,0.1473,0.876,100.041,113.3,100.04,100.1,213.41,0,0,0.8519,0.8414,-,,
4,unknown,0,1,3,1,0,0.8372,0.0,0.8372,0.0388,0.876,100.024,102.99,100.039,100.11,203.1,0,0,0.8519,0.756,-,,
5,unknown,0,1,4,1,0,0.4729,0.0,0.4729,0.2946,0.7674,102.772,122.49,100.37,100.5,222.99,0,0,0.8519,0.846,-,,
6,unknown,0,1,5,1,0,0.7364,0.0,0.7364,0.1163,0.8527,100.358,108.93,100.034,100.1,209.02,0,0,0.8519,0.846,-,,
7,unknown,0,1,6,1,0,0.8605,0.0,0.8605,0.0233,0.8837,100.23,101.89,100.029,100.08,201.97,0,0,0.8519,0.756,-,,
8,unknown,0,1,7,1,0,0.8527,0.0,0.8527,0.031,0.8837,100.066,101.78,100.014,100.07,201.85,0,0,0.8519,0.756,-,,
9,unknown,0,1,8,1,0,0.2946,0.0,0.2946,0.3798,0.6744,101.012,124.47,100.567,100.76,225.23,0,0,0.8519,0.8519,-,,
10,unknown,0,1,9,1,0,0.8605,0.0,0.8605,0.0233,0.8837,100.302,101.94,100.016,100.07,202.01,0,0,0.8519,0.756,-,,
