Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.9604,0.0,0.9802,0,0.9802,0.018,0.74,0,0.0,0.74,0,0,0.8822,0.1312,-,,
2,unknown,0,1,1,1,0,0.9307,0.0,0.9307,0.0,0.9307,100.024,100.49,100.039,100.09,200.59,0,0,0.8822,0.1312,-,,
3,unsat,0,2,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.025,0.55,0,0.0,0.55,0,0,0.8822,0.1312,-,,
4,unsat,0,3,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.023,0.23,0,0.0,0.23,0,0,0.8822,0.1312,-,,
5,unsat,0,4,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.042,0.28,0,0.0,0.28,0,0,0.8822,0.1312,-,,
6,unsat,0,5,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.04,0.43,0,0.0,0.43,0,0,0.8822,0.1312,-,,
7,unsat,0,6,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.019,0.21,0,0.0,0.21,0,0,0.8822,0.1312,-,,
8,unsat,0,7,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.049,0.27,0,0.0,0.27,0,0,0.8822,0.1312,-,,
9,unsat,0,8,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.038,0.29,0,0.0,0.29,0,0,0.8822,0.1312,-,,
10,unsat,0,9,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.027,0.29,0,0.0,0.29,0,0,0.8822,0.1312,-,,
11,unsat,0,10,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.018,0.2,0,0.0,0.2,0,0,0.8822,0.1312,-,,
12,unsat,0,11,1,0,0,0.9604,0.0,0.9802,0,0.9802,0.018,0.48,0,0.0,0.48,0,0,0.8822,0.1312,-,,
