Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.8812,0.0,0.8812,0,0.8812,61.675,63.28,0,0.0,63.28,0,0,0.847,0.8079,-,,
2,unsat,0,2,0,0,0,0.9208,0.0,0.9208,0,0.9208,15.224,15.85,0,0.0,15.85,0,0,0.847,0.8079,-,,
3,sat,1,2,0,0,0,0.9406,0.0,0.9406,0,0.9406,0.901,1.09,0,0.0,1.09,1,1,0.847,0.8451,-,[89.  5.  0. 11.  0. 11.  0.  1.  0.  0. 16. 72. 24.],[89.  5.  0. 11.  0. 11.  0.  0.  1.  0. 16. 72. 24.]
4,unsat,1,3,0,1,1,0.8515,0.0,0.8515,0.0396,0.8911,100.041,101.16,89.116,89.19,190.35,0,0,0.847,0.8079,-,,
5,unknown,1,3,1,1,0,0.7921,0.0,0.7921,0.0792,0.8713,100.049,102.59,100.014,100.08,202.67,0,0,0.847,0.8448,-,,
6,sat,2,3,1,0,0,0.8614,0.0,0.8614,0,0.8614,10.931,11.6,0,0.0,11.6,1,1,0.847,0.8448,-,[ 10.   1.   0.  16.   6.   0.   0.   4.   1.   0.  19. 100.  40.],[ 10.   1.   0.  16.   6.   0.   0.   3.   0.   0.  19. 100.  40.]
7,unknown,2,3,2,1,0,0.7723,0.0,0.7723,0.0495,0.8218,100.071,101.48,100.346,100.46,201.94,0,0,0.847,0.8079,-,,
8,unknown,2,3,3,1,0,0.7921,0.0,0.7921,0.0495,0.8416,100.108,101.58,100.019,100.1,201.68,0,0,0.847,0.8079,-,,
9,sat,3,3,3,0,0,0.901,0.0,0.901,0,0.901,6.874,8.01,0,0.0,8.01,1,1,0.847,0.8471,-,[59.  0.  6.  1.  0.  0.  3.  0.  1.  0. 19. 71. 20.],[59.  0.  6.  1.  0.  0.  3.  3.  0.  0. 19. 71. 20.]
10,unknown,3,3,4,1,0,0.6931,0.0,0.6931,0.0693,0.7624,100.152,102.39,100.014,100.13,202.52,0,0,0.847,0.8079,-,,
11,unknown,3,3,5,1,0,0.7822,0.0,0.7822,0.0594,0.8416,100.041,102.31,100.032,100.14,202.45,0,0,0.847,0.8079,-,,
12,unknown,3,3,6,1,0,0.6931,0.0,0.6931,0.0792,0.7723,100.102,102.38,100.026,100.15,202.53,0,0,0.847,0.8079,-,,
13,unknown,3,3,7,1,0,0.7723,0.0,0.7723,0.0099,0.7822,100.03,101.18,100.062,100.17,201.35,0,0,0.847,0.8079,-,,
14,unsat,3,4,7,0,0,0.9307,0.0,0.9307,0,0.9307,9.163,9.35,0,0.0,9.35,0,0,0.847,0.8079,-,,
15,sat,4,4,7,0,0,0.9208,0.0,0.9208,0,0.9208,6.822,7.23,0,0.0,7.23,1,1,0.847,0.8448,-,[30.  0.  4. 14.  0. 12.  1.  4.  0.  0. 10. 74. 40.],[30.  0.  4. 14.  0. 12.  1.  0.  1.  0. 10. 74. 40.]
16,unknown,4,4,8,1,0,0.7723,0.0,0.7723,0.0198,0.7921,100.059,101.47,100.309,100.41,201.88,0,0,0.847,0.8079,-,,
