Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.1818,0.0,0.1818,0,0.1818,3.821,3.93,0,0.0,3.93,0,0,0.8284,0.7555,-,,
2,sat,1,1,0,0,0,0.2727,0.0,0.2727,0,0.2727,9.174,9.32,0,0.0,9.32,1,1,0.8284,0.4774,-,[85.  0.  1.  1.  3. 13.  5.  3.  1. 19.  0. 32.  9.],[85.  0.  1.  1.  3. 13.  5.  4.  0. 19.  0. 32.  9.]
3,sat,2,1,0,0,0,0.2727,0.0,0.2727,0,0.2727,1.776,1.93,0,0.0,1.93,1,1,0.8284,0.4774,-,[70.  5. 12. 10.  2.  7.  0.  4.  1. 19. 19. 42. 25.],[70.  5. 12. 10.  2.  7.  0.  0.  0. 19. 19. 42. 25.]
4,sat,3,1,0,0,0,0.1818,0.0,0.1818,0,0.1818,13.864,13.99,0,0.0,13.99,1,1,0.8284,0.8284,-,[47.  5.  0.  5.  0. 10.  5.  4.  1.  0. 16. 83. 19.],[47.  5.  0.  5.  0. 10.  5.  3.  0.  0. 16. 83. 19.]
5,sat,4,1,0,0,0,0.1818,0.0,0.1818,0,0.1818,3.877,3.99,0,0.0,3.99,1,1,0.8284,0.8284,-,[30.  1.  6. 15.  0.  1.  2.  1.  1.  0.  7. 40. 40.],[30.  1.  6. 15.  0.  1.  2.  0.  0.  0.  7. 40. 40.]
6,sat,5,1,0,0,0,0.3636,0.0,0.3636,0,0.3636,6.203,6.31,0,0.0,6.31,1,1,0.8284,0.2566,-,[28.  6.  7.  6.  5.  9.  1.  4.  1. 11.  5.  1. 10.],[28.  6.  7.  6.  5.  9.  1.  3.  0. 11.  5.  1. 10.]
7,unsat,5,2,0,0,0,0.0909,0.0,0.0909,0,0.0909,80.223,45142.42,0,0.0,45142.43,0,0,0.8284,0.8284,-,,
