Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.8756,0.0,0.8756,0.0398,0.9254,100.067,109.33,100.015,100.14,209.47,0,0,0.8486,0.7602,-,,
2,unknown,0,0,2,1,0,0.9005,0.0,0.9005,0.0299,0.9403,100.08,109.18,100.059,100.12,209.3,0,0,0.8486,0.7602,-,,
3,unknown,0,0,3,1,0,0.8259,0.0,0.8259,0.0746,0.9104,100.022,114.48,100.026,100.1,214.58,0,0,0.8486,0.7602,-,,
4,unknown,0,0,4,1,0,0.7662,0.0,0.7662,0.1095,0.9005,100.269,129.45,100.039,100.1,229.56,0,0,0.8486,0.7555,-,,
5,sat,1,0,4,0,0,0.9154,0.005,0.9204,0,0.9204,96.975,102.91,0,0.0,102.91,0,0,0.8486,0.7602,-,[50.  0. 10. 13.  0. 11.  5.  4.  0. 10.  2. 35. 29.],[50.  0. 10. 13.  0. 11.  5.  0.  1. 10.  2. 35. 29.]
6,sat,2,0,4,1,1,0.9104,0.0,0.9104,0.0249,0.9453,100.017,105.77,51.907,51.96,157.73,0,0,0.8486,0.7602,-,[68.  0. 14.  7.  0.  6.  1.  2.  0. 14.  1. 31. 40.],[68.  0. 14.  7.  0.  6.  1.  3.  1. 14.  1. 31. 40.]
7,unknown,2,0,5,1,0,0.8159,0.0,0.8159,0.0945,0.9254,100.239,119.16,100.059,100.11,219.27,0,0,0.8486,0.7602,-,,
8,sat,3,0,5,1,1,0.9005,0.0,0.9005,0.0249,0.9353,100.08,102.29,92.669,92.72,195.02,0,0,0.8486,0.7602,-,[81.  0. 11. 11.  0. 10.  3.  0.  1. 19. 18.  1. 39.],[81.  0. 11. 11.  0. 10.  3.  4.  0. 19. 18.  1. 39.]
9,unknown,3,0,6,1,0,0.408,0.0,0.408,0.3483,0.7811,101.615,195.24,100.288,100.44,295.68,0,0,0.8486,0.7602,-,,
