Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.6863,0.0,0.6863,0.0588,0.7451,100.124,102.58,100.038,100.36,202.94,0,0,0.8452,1.0,-,,
2,sat,1,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,43.785,44.36,0,0.0,44.36,1,1,0.8452,1.0,-,[87.  6. 12. 11.  1.  0.  5.  4.  1. 19. 11. 91. 39.],[87.  6. 12. 11.  1.  0.  5.  4.  0. 19. 11. 91. 39.]
3,sat,2,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,14.479,15.06,0,0.0,15.06,1,1,0.8452,1.0,-,[68.  6. 15. 14.  4. 13.  2.  3.  0. 10. 11. 90. 12.],[68.  6. 15. 14.  4. 13.  2.  3.  1. 10. 11. 90. 12.]
4,sat,3,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,10.589,11.18,0,0.0,11.18,1,1,0.8452,1.0,-,[100.   6.  14.  16.   6.   0.   1.   0.   1.  14.   4.  27.  36.],[100.   6.  14.  16.   6.   0.   1.   0.   0.  14.   4.  27.  36.]
5,sat,4,0,1,0,0,0.8039,0.0,0.8039,0,0.8039,30.89,32.33,0,0.0,32.33,1,1,0.8452,1.0,-,[88.  0.  3.  2.  1. 13.  0.  4.  0.  9. 15. 77.  0.],[88.  0.  3.  2.  1. 13.  0.  4.  1.  9. 15. 77.  0.]
6,sat,5,0,1,0,0,0.8627,0.0,0.8627,0,0.8627,30.086,30.66,0,0.0,30.66,1,1,0.8452,1.0,-,[53.  6. 15.  8.  0. 13.  5.  3.  1. 18.  0. 72. 39.],[53.  6. 15.  8.  0. 13.  5.  3.  0. 18.  0. 72. 39.]
7,unknown,5,0,2,1,0,0.6471,0.0,0.6471,0.0392,0.6863,100.038,101.73,100.799,101.11,202.84,0,0,0.8452,1.0,-,,
8,unknown,5,0,3,1,0,0.6078,0.0,0.6078,0.1373,0.7451,100.042,103.77,100.118,100.38,204.16,0,0,0.8452,1.0,-,,
9,sat,6,0,3,0,0,0.8039,0.0,0.8039,0,0.8039,26.19,28.65,0,0.0,28.65,1,1,0.8452,1.0,-,[51.  6.  0. 11.  0. 10.  1.  4.  0.  0. 12. 81.  6.],[51.  6.  0. 11.  0. 10.  1.  4.  1.  0. 12. 81.  6.]
10,unknown,6,0,4,1,0,0.5882,0.0,0.5882,0.0784,0.6667,100.68,103.38,100.042,100.38,203.76,0,0,0.8452,1.0,-,,
11,unknown,6,0,5,1,0,0.7843,0.0,0.7843,0.0,0.7843,100.031,100.68,100.251,100.49,201.17,0,0,0.8452,1.0,-,,
12,unknown,6,0,6,1,0,0.7451,0.0,0.7451,0.0392,0.7843,100.144,101.69,100.118,100.34,202.04,0,0,0.8452,1.0,-,,
13,sat,7,0,6,0,0,0.8039,0.0,0.8039,0,0.8039,57.034,57.73,0,0.0,57.73,1,1,0.8452,1.0,-,[87.  6.  8. 11.  5. 11.  5.  2.  1. 10. 16. 57.  9.],[87.  6.  8. 11.  5. 11.  5.  2.  0. 10. 16. 57.  9.]
14,sat,8,0,6,0,0,0.8039,0.0,0.8039,0,0.8039,16.648,17.31,0,0.0,17.31,1,1,0.8452,1.0,-,[20.  4. 11. 14.  0.  0.  1.  3.  0.  0. 17. 72. 40.],[20.  4. 11. 14.  0.  0.  1.  3.  1.  0. 17. 72. 40.]
15,sat,9,0,6,0,0,0.8431,0.0,0.8431,0,0.8431,63.233,64.28,0,0.0,64.28,1,1,0.8452,1.0,-,[100.   1.  10.   1.   5.  10.   0.   1.   0.  14.   1.  22.  20.],[100.   1.  10.   1.   5.  10.   0.   1.   1.  14.   1.  22.  20.]
16,unknown,9,0,7,1,0,0.7647,0.0,0.7647,0.0196,0.7843,100.028,101.16,100.129,100.36,201.52,0,0,0.8452,1.0,-,,
17,unknown,9,0,8,1,0,0.8039,0.0,0.8039,0.0,0.8039,100.029,100.69,100.094,100.3,200.98,0,0,0.8452,1.0,-,,
