Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.02,0.19,0,0.0,0.19,0,0,0.8876,0.1312,-,,
2,unsat,0,2,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.019,0.19,0,0.0,0.19,0,0,0.8876,0.1312,-,,
3,sat,1,2,0,0,0,0.6939,0.0,0.7551,0,0.7551,7.502,8.11,0,0.0,8.11,0,0,0.8876,0.8868,-,"[  1.   0.   2.   1.   1.   0.   1.   0.   0.   3. 470.   1.  36. 247.
   7.   0.]","[  0.   0.   2.   1.   1.   0.   1.   0.   0.   3. 470.   1.  36. 247.
   7.   0.]"
4,sat,2,2,0,0,0,0.7755,0.0,0.8367,0,0.8367,0.45,0.76,0,0.0,0.76,1,1,0.8876,0.8865,-,"[  1.   9.   1.   6.   0.   0.   1.   1.  11.   6. 500.  -2.   1. 691.
   0.   2.]","[  0.   9.   1.   6.   0.   0.   1.   1.  11.   6. 500.  -2.   1. 691.
   0.   2.]"
5,unsat,2,3,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.02,0.2,0,0.0,0.2,0,0,0.8876,0.1312,-,,
6,sat,3,3,0,0,0,0.8163,0.0,0.8163,0,0.8163,7.222,7.96,0,0.0,7.96,1,1,0.8876,0.1312,-,"[1.000e+00 0.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 2.265e+03 1.000e+00 3.000e+00 2.300e+01
 0.000e+00 0.000e+00]","[0.000e+00 0.000e+00 0.000e+00 2.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 2.265e+03 1.000e+00 3.000e+00 2.300e+01
 0.000e+00 0.000e+00]"
7,unsat,3,4,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.021,0.2,0,0.0,0.2,0,0,0.8876,0.1312,-,,
8,unsat,3,5,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.018,0.19,0,0.0,0.19,0,0,0.8876,0.1312,-,,
9,unsat,3,6,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.021,0.19,0,0.0,0.19,0,0,0.8876,0.1312,-,,
10,unsat,3,7,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.019,0.19,0,0.0,0.19,0,0,0.8876,0.1312,-,,
