Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.8163,0.0,0.8163,0,0.8163,1.001,2.22,0,0.0,2.22,0,0,0.8876,0.1312,-,,
2,unsat,0,2,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.034,0.28,0,0.0,0.28,0,0,0.8876,0.1312,-,,
3,unsat,0,3,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.033,0.31,0,0.0,0.31,0,0,0.8876,0.1312,-,,
4,unsat,0,4,0,0,0,0.8163,0.0,0.8163,0,0.8163,1.176,2.2,0,0.0,2.2,0,0,0.8876,0.1312,-,,
5,sat,1,4,0,0,0,0.8163,0.0,0.8163,0,0.8163,5.367,6.41,0,0.0,6.41,1,1,0.8876,0.1312,-,"[0.000e+00 0.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 3.208e+03 1.000e+00 1.700e+01 6.000e+00
 0.000e+00 0.000e+00]","[1.000e+00 0.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 3.208e+03 1.000e+00 1.700e+01 6.000e+00
 0.000e+00 0.000e+00]"
6,unsat,1,5,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.034,0.32,0,0.0,0.32,0,0,0.8876,0.1312,-,,
7,unsat,1,6,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.032,0.37,0,0.0,0.37,0,0,0.8876,0.1312,-,,
8,unsat,1,7,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.023,0.25,0,0.0,0.25,0,0,0.8876,0.1312,-,,
9,unsat,1,8,0,0,0,0.8163,0.0,0.8163,0,0.8163,0.748,1.93,0,0.0,1.93,0,0,0.8876,0.1312,-,,
10,sat,2,8,0,0,0,0.8571,0.0,0.8776,0,0.8776,0.084,1.01,0,0.0,1.01,1,1,0.8876,0.1421,-,"[0.000e+00 1.000e+01 2.000e+00 6.000e+00 1.000e+00 0.000e+00 1.000e+00
 0.000e+00 9.000e+00 4.000e+00 1.008e+03 1.000e+00 4.900e+01 4.050e+02
 7.000e+00 1.000e+00]","[1.000e+00 1.000e+01 2.000e+00 6.000e+00 1.000e+00 0.000e+00 1.000e+00
 0.000e+00 9.000e+00 4.000e+00 1.008e+03 1.000e+00 4.900e+01 4.050e+02
 7.000e+00 1.000e+00]"
11,unsat,2,9,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.025,0.27,0,0.0,0.27,0,0,0.8876,0.1312,-,,
12,sat,3,9,0,0,0,0.8571,0.0,0.8776,0,0.8776,0.103,1.01,0,0.0,1.01,1,1,0.8876,0.1421,-,"[ 0.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  7.000e+00  5.000e+00  1.101e+03 -1.000e+00
  5.000e+01  3.020e+02  7.000e+00  2.000e+00]","[ 1.000e+00  1.000e+01  2.000e+00  6.000e+00  0.000e+00  1.000e+00
  1.000e+00  1.000e+00  7.000e+00  5.000e+00  1.101e+03 -1.000e+00
  5.000e+01  3.020e+02  7.000e+00  2.000e+00]"
13,unsat,3,10,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.031,0.28,0,0.0,0.28,0,0,0.8876,0.1312,-,,
14,sat,4,10,0,0,0,0.7551,0.0,0.7755,0,0.7755,6.425,7.03,0,0.0,7.04,1,1,0.8876,0.887,-,"[  0.   8.   0.   6.   1.   0.   0.   0.   9.   2. 394.  -3.  11. 985.
   0.   2.]","[  1.   8.   0.   6.   1.   0.   0.   0.   9.   2. 394.  -3.  11. 985.
   0.   2.]"
15,unsat,4,11,0,0,0,0.8163,0.0,0.8163,0,0.8163,0.537,1.62,0,0.0,1.62,0,0,0.8876,0.1312,-,,
16,sat,5,11,0,0,0,0.8571,0.0,0.8776,0,0.8776,0.09,1.1,0,0.0,1.1,1,1,0.8876,0.1421,-,"[0.000e+00 1.000e+01 2.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00
 1.000e+00 6.000e+00 6.000e+00 1.101e+03 1.000e+00 5.000e+01 2.220e+02
 6.000e+00 1.000e+00]","[1.000e+00 1.000e+01 2.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00
 1.000e+00 6.000e+00 6.000e+00 1.101e+03 1.000e+00 5.000e+01 2.220e+02
 6.000e+00 1.000e+00]"
17,sat,6,11,0,0,0,0.8163,0.0,0.8163,0,0.8163,13.273,14.36,0,0.0,14.36,1,1,0.8876,0.1312,-,"[1.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 2.000e+00 2.000e+00 3.199e+03 1.000e+00 2.000e+00 3.400e+01
 0.000e+00 0.000e+00]","[0.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00
 1.000e+00 2.000e+00 2.000e+00 3.199e+03 1.000e+00 2.000e+00 3.400e+01
 0.000e+00 0.000e+00]"
18,unsat,6,12,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.039,0.41,0,0.0,0.41,0,0,0.8876,0.1312,-,,
19,unsat,6,13,0,0,0,0.8367,0.0,0.8367,0,0.8367,1.046,2.17,0,0.0,2.17,0,0,0.8876,0.1312,-,,
20,unsat,6,14,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.031,0.37,0,0.0,0.37,0,0,0.8876,0.1312,-,,
21,sat,7,14,0,0,0,0.7143,0.0,0.7347,0,0.7347,4.644,5.65,0,0.0,5.65,1,1,0.8876,0.1421,-,"[  0.  10.   2.   6.   1.   1.   1.   0.  10.   3. 900.  -3.  39.   0.
   1.   2.]","[  1.  10.   2.   6.   1.   1.   1.   0.  10.   3. 900.  -3.  39.   0.
   1.   2.]"
22,unsat,7,15,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.031,0.36,0,0.0,0.36,0,0,0.8876,0.1312,-,,
23,unsat,7,16,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.046,0.35,0,0.0,0.35,0,0,0.8876,0.1312,-,,
24,unsat,7,17,0,0,0,0.8163,0.0,0.8163,0,0.8163,0.648,1.83,0,0.0,1.83,0,0,0.8876,0.1312,-,,
25,unsat,7,18,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.022,0.33,0,0.0,0.33,0,0,0.8876,0.1312,-,,
26,sat,8,18,0,1,1,0.5918,0.0,0.6122,0.0612,0.6735,100.024,101.59,62.638,62.81,164.4,1,1,0.8876,0.887,-,"[  0.   2.   2.   6.   1.   0.   0.   1.   6.   6. 202.  -3.  17. 707.
   0.   1.]","[  1.   2.   2.   6.   1.   0.   0.   1.   6.   6. 202.  -3.  17. 707.
   0.   1.]"
27,unsat,8,19,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.038,0.38,0,0.0,0.38,0,0,0.8876,0.1312,-,,
28,unsat,8,20,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.046,0.36,0,0.0,0.36,0,0,0.8876,0.1312,-,,
29,unsat,8,21,0,0,0,0.9184,0.0,0.9184,0,0.9184,0.034,0.35,0,0.0,0.35,0,0,0.8876,0.1312,-,,
