Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.7624,0.0,0.8119,0.0297,0.8416,100.05,101.87,100.022,100.12,202.0,0,0,0.8822,0.1312,-,,
2,unsat,0,1,1,0,0,0.9802,0.0,0.9802,0,0.9802,0.018,0.19,0,0.0,0.19,0,0,0.8822,0.1312,-,,
3,unknown,0,1,2,1,0,0.9307,0.0,0.9307,0.0,0.9307,100.012,100.48,100.009,100.06,200.54,0,0,0.8822,0.1312,-,,
4,sat,1,1,2,0,0,0.9109,0.0,0.9406,0,0.9406,1.682,2.66,0,0.0,2.66,0,0,0.8822,0.1312,-,"[  1.   2.   2.   1.   1.   0.   0.   1.   0.   6. 102.   1.  41. 721.
   7.   0.]","[  0.   2.   2.   1.   1.   0.   0.   1.   0.   6. 102.   1.  41. 721.
   7.   0.]"
5,unsat,1,2,2,0,0,0.9703,0.0,0.9703,0,0.9703,0.237,0.68,0,0.0,0.68,0,0,0.8822,0.1312,-,,
6,unsat,1,3,2,0,0,0.9505,0.0,0.9703,0,0.9703,0.07,0.75,0,0.0,0.75,0,0,0.8822,0.1312,-,,
7,unsat,1,4,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.013,0.38,0,0.0,0.38,0,0,0.8822,0.1312,-,,
8,unsat,1,5,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.018,0.18,0,0.0,0.18,0,0,0.8822,0.1312,-,,
9,unsat,1,6,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.015,0.45,0,0.0,0.45,0,0,0.8822,0.1312,-,,
10,sat,2,6,2,0,0,0.9307,0.0,0.9604,0,0.9604,0.403,0.78,0,0.0,0.78,0,0,0.8822,0.1312,-,"[  1.   2.   0.   0.   1.   1.   1.   1.   0.   1. 200.   1.  50. 401.
   7.   0.]","[  0.   2.   0.   0.   1.   1.   1.   1.   0.   1. 200.   1.  50. 401.
   7.   0.]"
11,unsat,2,7,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.016,0.42,0,0.0,0.42,0,0,0.8822,0.1312,-,,
12,unsat,2,8,2,0,0,0.9703,0.0,0.9703,0,0.9703,0.179,0.66,0,0.0,0.66,0,0,0.8822,0.1312,-,,
13,unsat,2,9,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.019,0.17,0,0.0,0.17,0,0,0.8822,0.1312,-,,
14,unsat,2,10,2,0,0,0.9604,0.0,0.9802,0,0.9802,0.016,0.63,0,0.0,0.63,0,0,0.8822,0.1312,-,,
15,unsat,2,11,2,0,0,0.9604,0.0,0.9604,0,0.9604,0.987,1.61,0,0.0,1.61,0,0,0.8822,0.1312,-,,
16,unsat,2,12,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.017,0.17,0,0.0,0.17,0,0,0.8822,0.1312,-,,
17,unsat,2,13,2,0,0,0.9802,0.0,0.9802,0,0.9802,0.017,0.21,0,0.0,0.21,0,0,0.8822,0.1312,-,,
18,unknown,2,13,3,1,0,0.9307,0.0,0.9307,0.0,0.9307,100.023,100.7,100.021,100.06,200.75,0,0,0.8822,0.1312,-,,
19,unsat,2,14,3,0,0,0.9802,0.0,0.9802,0,0.9802,0.018,0.45,0,0.0,0.45,0,0,0.8822,0.1312,-,,
20,unsat,2,15,3,0,0,0.9802,0.0,0.9802,0,0.9802,0.017,0.2,0,0.0,0.2,0,0,0.8822,0.1312,-,,
21,unsat,2,16,3,0,0,0.9505,0.0,0.9703,0,0.9703,0.058,0.23,0,0.0,0.23,0,0,0.8822,0.1312,-,,
22,unsat,2,17,3,0,0,0.9802,0.0,0.9802,0,0.9802,0.017,0.19,0,0.0,0.19,0,0,0.8822,0.1312,-,,
23,unsat,2,18,3,0,0,0.9802,0.0,0.9802,0,0.9802,0.016,0.45,0,0.0,0.45,0,0,0.8822,0.1312,-,,
24,unsat,2,19,3,0,0,0.9604,0.0,0.9604,0,0.9604,1.25,1.92,0,0.0,1.92,0,0,0.8822,0.1312,-,,
25,unsat,2,20,3,0,0,0.9802,0.0,0.9802,0,0.9802,0.017,0.37,0,0.0,0.37,0,0,0.8822,0.1312,-,,
26,unsat,2,21,3,0,0,0.9604,0.0,0.9802,0,0.9802,0.017,0.43,0,0.0,0.43,0,0,0.8822,0.1312,-,,
